WHICH,1570109342
THEIR,1076488415
THERE,811848203
WOULD,736404476
OTHER,691591710
THESE,652892753
ABOUT,535438145
FIRST,461576781
COULD,443444946
AFTER,401110215
THOSE,345833904
WHERE,335821693
BEING,308096733
UNDER,292804847
YEARS,281623235
GREAT,278574742
STATE,276687623
WORLD,252934367
THREE,243893653
WHILE,241720369
FOUND,218308716
MIGHT,204780135
STILL,204131780
RIGHT,202859545
PLACE,200698028
EVERY,196653070
POWER,187219808
SINCE,185795324
GIVEN,185479040
NEVER,183704426
ORDER,180322171
WATER,177670108
SMALL,175242603
SHALL,171698927
LARGE,171198120
POINT,166928869
AGAIN,163091970
OFTEN,162692895
AMONG,160675341
HOUSE,158321573
WOMEN,155889716
GROUP,142334639
THINK,141149393
HUMAN,139512804
LATER,134710601
UNTIL,133473137
WHOLE,132198611
EARLY,131494753
MEANS,130967511
ABOVE,128631313
VALUE,125855900
STUDY,125572933
TABLE,123938864
TAKEN,122222321
TIMES,122137394
KNOWN,121371758
COURT,117883286
YOUNG,116846616
WORDS,113684476
WHITE,111890830
LIGHT,111571494
LEAST,109683544
LEVEL,108757600
CHILD,107256835
DEATH,107120676
PRESS,105813720
CASES,103842266
GOING,103555677
PARTY,101569481
USING,100768480
SENSE,98609923
BASED,98509945
WHOSE,98094279
SOUTH,97453859
TOTAL,97318533
CLASS,96809206
LOCAL,94482332
ALONG,93266092
TERMS,91717213
MONEY,91364563
BLACK,90770766
FORCE,89783110
NORTH,89325440
NIGHT,88906863
SHORT,88428932
FIELD,88283722
ASKED,86872693
QUITE,86728196
THING,86369137
WOMAN,84461127
MAJOR,84420883
THIRD,82376730
SHOWN,82309211
BEGAN,81631233
CAUSE,81093861
HEART,80627319
SEEMS,79260260
TRADE,78767200
CLEAR,77725341
MODEL,77704591
LOWER,72608163
CLOSE,72013022
BLOOD,71883205
HANDS,70347996
STORY,68392549
FORMS,68233757
PAPER,67793123
WORKS,67495359
AREAS,67470811
PARTS,66933581
UNION,65780415
RIVER,64525144
BOOKS,64342440
SPACE,63971270
PRICE,63682535
MAKES,62618497
BASIS,61710961
ALONE,61445348
BELOW,61334394
EARTH,60667404
HEARD,60527256
LINES,59712963
HOURS,59590740
RANGE,59416240
TRUTH,59361304
BOARD,58662895
NEEDS,58432607
FRONT,57122685
SHOWS,56708163
LEAVE,55721387
CELLS,55648426
MARCH,55509240
DOING,54794100
STAGE,54783003
TODAY,54480409
LABOR,54364364
VOICE,52911983
BRING,52717668
PEACE,52715280
CHIEF,52468685
ADDED,52386511
ISSUE,51709853
EQUAL,51618884
INDIA,51617517
BASIC,51476832
TYPES,51351357
MUSIC,51314496
JAMES,51301120
WROTE,50647568
SOUND,49179777
IDEAS,48446451
FINAL,48312451
MILES,48266593
RULES,47723419
GIVES,46742758
CROSS,46316047
MORAL,46043531
FAITH,45839903
LEGAL,45621811
COMES,45586865
CIVIL,45446745
BUILT,44488595
ROUND,44340523
SCALE,43972775
WRITE,43698229
DOUBT,43418853
APRIL,43306978
SEVEN,43163747
COSTS,42976395
GREEN,42442187
TAKES,42072910
IMAGE,41964072
PLANT,41923696
SPEAK,41734903
LIVES,41577232
PARIS,41502055
TRIED,41211181
CHINA,41177088
UPPER,41006355
EIGHT,40758131
HENRY,40702488
STOCK,40545433
STAND,40343196
SHARE,40233413
STYLE,39953401
START,39936807
GOODS,39904802
READY,39804986
OCCUR,39739970
NOTES,39732331
RATES,39618615
STOOD,39341551
JESUS,39176505
MOVED,39154551
STAFF,38854813
BROWN,37512327
LIVED,37261846
LEARN,37225410
DAILY,37072001
ALLOW,37004438
NOTED,36785085
NAMES,36704690
PHASE,36646385
HENCE,36490529
HEAVY,36306663
FULLY,36152485
TITLE,35709941
CLAIM,35614893
FIXED,35463932
FACTS,34680784
COLOR,34665495
BEGIN,34655431
EVENT,34645500
MONTH,34600065
OFFER,34268645
WRONG,34231113
DAVID,33935702
CARRY,33794599
SERVE,33706463
WEEKS,33668881
STONE,33655417
ROYAL,33265840
TRUST,33047563
UNITS,33043971
TREES,33016816
DRAWN,32448988
FLOOR,32250204
SMITH,32149913
GLASS,32012707
JUDGE,31852179
ENEMY,31745269
JAPAN,31689507
PIECE,31683425
REACH,31538758
MEANT,31374164
VISIT,31362322
ENTER,30905911
WORTH,30824960
ROMAN,30766029
COVER,30547516
FORTH,30474964
AVOID,30356920
MOUTH,30253156
EXIST,30166017
STEPS,29925733
VIEWS,29865442
SPENT,29761297
SCENE,29718742
BRAIN,29690816
SHAPE,29646582
HAPPY,29582542
OLDER,29395160
TRIAL,29373310
PLANS,29163314
SALES,29107551
USUAL,29038203
PRIOR,29032831
APPLY,29009622
HORSE,28947896
SPEED,28939149
INDEX,28847177
BIRTH,28840904
OUGHT,28665122
NAMED,28395291
ERROR,28362949
JOINT,28293438
FOCUS,28201338
PETER,28023529
GIRLS,27809149
QUEEN,27694250
URBAN,27672673
BOUND,27563535
TESTS,27531676
KINDS,27246021
GREEK,27135384
COAST,27129201
PLATE,26968214
CHECK,26835907
WALLS,26771736
BREAK,26619347
RATIO,26605331
SIDES,26473261
SIGHT,26439293
MEDIA,26342375
BROAD,25909451
AGENT,25777511
AWARE,25767775
YOUTH,25658039
PAGES,25562313
SLEEP,25444383
